
> replica@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://100.104.119.53:3000
- Environments: .env.local
✓ Ready in 657ms

 GET /facturacion 200 in 1470ms (next.js: 208ms, proxy.ts: 382ms, application-code: 880ms)
 GET /api/auth/session 200 in 37ms (next.js: 12ms, proxy.ts: 8ms, application-code: 17ms)
 GET /configuracion 200 in 96ms (next.js: 26ms, proxy.ts: 9ms, application-code: 60ms)
 GET /analiticas 200 in 78ms (next.js: 25ms, proxy.ts: 10ms, application-code: 43ms)
 GET /facturacion 200 in 61ms (next.js: 14ms, proxy.ts: 10ms, application-code: 37ms)
✓ Compiled in 171ms
 GET /facturacion 200 in 1177ms (next.js: 266ms, proxy.ts: 173ms, application-code: 739ms)
 GET /facturacion 200 in 1179ms (next.js: 515ms, proxy.ts: 176ms, application-code: 488ms)
 GET /api/auth/session 200 in 397ms (next.js: 323ms, proxy.ts: 25ms, application-code: 49ms)
 GET /api/auth/session 200 in 38ms (next.js: 11ms, proxy.ts: 9ms, application-code: 17ms)
 GET /facturacion 200 in 1079ms (next.js: 291ms, proxy.ts: 13ms, application-code: 775ms)
 GET /facturacion 200 in 807ms (next.js: 16ms, proxy.ts: 132ms, application-code: 658ms)
 GET /facturacion 200 in 682ms (next.js: 38ms, proxy.ts: 44ms, application-code: 599ms)
 GET /facturacion 200 in 683ms (next.js: 95ms, proxy.ts: 46ms, application-code: 542ms)
 GET /facturacion 200 in 683ms (next.js: 138ms, proxy.ts: 48ms, application-code: 497ms)
 GET /facturacion 200 in 749ms (next.js: 284ms, proxy.ts: 41ms, application-code: 424ms)
 GET /facturacion 200 in 583ms (next.js: 71ms, proxy.ts: 46ms, application-code: 466ms)
 GET /facturacion 200 in 447ms (next.js: 25ms, proxy.ts: 51ms, application-code: 371ms)
 GET /facturacion 200 in 345ms (next.js: 21ms, proxy.ts: 54ms, application-code: 270ms)
 GET /facturacion 200 in 347ms (next.js: 59ms, proxy.ts: 56ms, application-code: 232ms)
 GET /facturacion 200 in 336ms (next.js: 103ms, proxy.ts: 48ms, application-code: 185ms)
 GET /resumen 200 in 436ms (next.js: 246ms, proxy.ts: 12ms, application-code: 178ms)
 GET /analiticas 200 in 445ms (next.js: 256ms, proxy.ts: 16ms, application-code: 173ms)
 GET /facturacion 200 in 63ms (next.js: 7ms, proxy.ts: 10ms, application-code: 47ms)
 GET /login 200 in 149ms (next.js: 16ms, proxy.ts: 6ms, application-code: 127ms)
 GET /api/auth/session 200 in 190ms (next.js: 162ms, proxy.ts: 4ms, application-code: 24ms)
 GET /api/auth/session 200 in 28ms (next.js: 9ms, proxy.ts: 8ms, application-code: 10ms)
 GET /resumen 200 in 72ms (next.js: 8ms, proxy.ts: 12ms, application-code: 52ms)
 GET /login 200 in 107ms (next.js: 9ms, proxy.ts: 8ms, application-code: 90ms)
 GET /api/auth/session 200 in 72ms (next.js: 46ms, proxy.ts: 11ms, application-code: 14ms)
 GET /api/auth/session 200 in 35ms (next.js: 14ms, proxy.ts: 9ms, application-code: 11ms)
 GET /api/auth/providers 200 in 45ms (next.js: 22ms, proxy.ts: 10ms, application-code: 13ms)
 GET /api/auth/csrf 200 in 34ms (next.js: 12ms, proxy.ts: 10ms, application-code: 12ms)
 POST /api/auth/callback/credentials? 200 in 495ms (next.js: 12ms, proxy.ts: 11ms, application-code: 472ms)
 GET /api/auth/session 200 in 215ms (next.js: 22ms, proxy.ts: 74ms, application-code: 119ms)
 GET /facturacion 307 in 551ms (next.js: 19ms, proxy.ts: 99ms, application-code: 433ms)
 GET /login 200 in 157ms (next.js: 12ms, proxy.ts: 13ms, application-code: 132ms)
 GET /api/auth/session 200 in 64ms (next.js: 31ms, proxy.ts: 9ms, application-code: 25ms)
 GET /api/auth/session 200 in 45ms (next.js: 13ms, proxy.ts: 9ms, application-code: 23ms)
 GET /login 200 in 118ms (next.js: 8ms, proxy.ts: 9ms, application-code: 101ms)
 GET /api/auth/session 200 in 85ms (next.js: 40ms, proxy.ts: 12ms, application-code: 32ms)
 GET /api/auth/session 200 in 48ms (next.js: 13ms, proxy.ts: 10ms, application-code: 25ms)
 GET /api/auth/providers 200 in 30ms (next.js: 12ms, proxy.ts: 8ms, application-code: 9ms)
 GET /api/auth/csrf 200 in 31ms (next.js: 10ms, proxy.ts: 10ms, application-code: 11ms)
 POST /api/auth/callback/credentials? 200 in 452ms (next.js: 13ms, proxy.ts: 13ms, application-code: 427ms)
 GET /api/auth/session 200 in 48ms (next.js: 14ms, proxy.ts: 10ms, application-code: 24ms)
 GET /api/auth/session 200 in 54ms (next.js: 13ms, proxy.ts: 12ms, application-code: 29ms)
 GET /api/auth/session 200 in 321ms (next.js: 177ms, proxy.ts: 17ms, application-code: 126ms)
 GET /admin/resumen 200 in 332ms (next.js: 67ms, proxy.ts: 19ms, application-code: 246ms)
 GET /facturacion 200 in 133ms (next.js: 6ms, proxy.ts: 7ms, application-code: 120ms)
 GET /api/auth/session 200 in 85ms (next.js: 31ms, proxy.ts: 15ms, application-code: 40ms)
 GET /api/auth/session 200 in 26ms (next.js: 6ms, proxy.ts: 8ms, application-code: 11ms)
 GET /resumen 200 in 830ms (next.js: 27ms, proxy.ts: 8ms, application-code: 795ms)
 GET /api/auth/session 200 in 545ms (next.js: 164ms, proxy.ts: 10ms, application-code: 371ms)
 GET /facturacion 200 in 129ms (next.js: 16ms, proxy.ts: 34ms, application-code: 80ms)
 GET /api/auth/session 200 in 308ms (next.js: 53ms, proxy.ts: 8ms, application-code: 247ms)
 GET /resumen 200 in 86ms (next.js: 6ms, proxy.ts: 6ms, application-code: 73ms)
 GET /api/auth/session 200 in 41ms (next.js: 22ms, proxy.ts: 6ms, application-code: 13ms)
 GET /api/auth/session 200 in 25ms (next.js: 7ms, proxy.ts: 6ms, application-code: 12ms)
